Day,Studio,Class,Ages,Teacher,Start,End,Style,New,Note
Monday,A,Pre-Ballet 3,ages 9–10,Jess,5:15 PM,6:15 PM,Ballet,,
Monday,A,Modern/Horton 1,,Jess,6:30 PM,7:30 PM,Contemporary,,by admission only
Monday,A,Grade 3–4 & Pointe 3/4,,Jess,7:30 PM,8:45 PM,Ballet,,
Monday,A,SR Ballet Pre-Prof,,Jess,8:45 PM,10:00 PM,Ballet,,
Monday,B,Tiny Movers,ages 3–4,Alyssa,5:30 PM,6:15 PM,Ballet,,
Monday,B,Pre-Ballet 2,ages 8–9,Silvie,6:15 PM,7:15 PM,Ballet,,
Monday,C,Pre-Hip Hop 1,ages 5–7,Emma G,5:15 PM,6:00 PM,Hip Hop,,
Monday,C,GRÜV 956 Rehearsal,,Juan,6:15 PM,7:30 PM,Company,,
Monday,C,NFS CRÜ Rehearsal,,Juan,8:45 PM,10:00 PM,Company,,
Monday,D,Pre-Ballet 1,ages 5–7,Dani,5:15 PM,6:15 PM,Ballet,Yes,
Monday,D,Pre-Hip Hop 3,ages 9–10,Melody,6:15 PM,7:15 PM,Hip Hop,,
Monday,D,Teen Hip Hop 1/2,,Juan,7:30 PM,8:45 PM,Hip Hop,,
Tuesday,A,Tiny Tots,ages 18–35 mos,Jess,5:00 PM,5:30 PM,Ballet,,
Tuesday,A,Preparatory Grade 1,,Jess,5:30 PM,6:30 PM,Ballet,,
Tuesday,A,Teen/Adult Ballet 1,,Jess,6:30 PM,7:30 PM,Ballet,,
Tuesday,A,Grade 2 & Pointe 2,,Jess,7:30 PM,8:45 PM,Ballet,,
Tuesday,A,Horton 2/3,,Jess,8:45 PM,10:00 PM,Contemporary,,
Tuesday,B,Tiny Movers,ages 3–4,Alyssa / Silvie,5:30 PM,6:15 PM,Ballet,,
Tuesday,C,Pre-Ballet 1,ages 5–7,Dani,6:00 PM,7:00 PM,Ballet,,
Tuesday,C,Youth Ballet 2B,,Dani,7:00 PM,8:00 PM,Ballet,,
Tuesday,C,Youth Hip Hop 2A/2B,,Juan,8:00 PM,9:00 PM,Hip Hop,,
Tuesday,D,Pre-Turns & Leaps,ages 8–11,Margaret / Marlene,6:30 PM,7:30 PM,Turns & Leaps,,
Tuesday,D,Youth Hip Hop 1A/1B,,Juan,6:30 PM,7:45 PM,Hip Hop,,
Tuesday,D,JR Drill Co Rehearsal,,Dani,8:00 PM,9:15 PM,Company,,
Wednesday,A,Youth Cont. Jazz 1A/1B,ages 11–13,Jess,5:15 PM,6:15 PM,Jazz,,
Wednesday,A,Teen/Adult Cont. Jazz 1A/1B,,Jess,6:15 PM,7:30 PM,Jazz,,
Wednesday,A,Teen/Adult Cont. Jazz 2/3,,Jess,7:30 PM,8:45 PM,Jazz,,
Wednesday,A,SR Jazz & Contemporary Pre-Prof,,Jess,8:45 PM,10:00 PM,Jazz,,
Wednesday,B,Baby Jazz,ages 3–4,Margaret,5:30 PM,6:15 PM,Jazz,,
Wednesday,B,Pre-Jazz 1,ages 5–7,Marlene,6:15 PM,7:00 PM,Jazz,,
Wednesday,C,Pre-Jazz 3,ages 9–10,Dani,5:15 PM,6:15 PM,Jazz,,
Wednesday,C,Pre-Jazz 2,ages 8–9,Margaret,6:15 PM,7:15 PM,Jazz,,
Wednesday,C,Lil Blaze Rehearsal,,Juan,7:30 PM,8:45 PM,Company,,
Wednesday,D,Youth Jazz 2A,,Dani,6:15 PM,7:30 PM,Jazz,,
Wednesday,D,Youth Jazz 2B,,Dani,7:30 PM,8:45 PM,Jazz,,
Wednesday,D,JR Drill Co Technique,,Dani,8:45 PM,9:45 PM,Company,,
Thursday,A,Youth Ballet 1A/1B,ages 11–13,Jess,5:15 PM,6:15 PM,Ballet,,
Thursday,A,Preparatory Grade 2 / Grade 1 & Pointe 1,,Jess,6:15 PM,7:30 PM,Ballet,,
Thursday,A,Teen/Adult Ballet 2/3,,Jess,7:30 PM,8:30 PM,Ballet,,
Thursday,B,Pre-Jazz 1,ages 5–7,Vale,5:30 PM,6:15 PM,Jazz,,
Thursday,B,Pre-Hip Hop 2,ages 8–9,Melody,6:15 PM,7:15 PM,Hip Hop,,
Thursday,B,Boys Hip Hop,ages 9–13,Juan,7:15 PM,8:15 PM,Hip Hop,Yes,
Thursday,C,Pre-Ballet 1,ages 5–7,Dani,5:30 PM,6:30 PM,Ballet,,
Thursday,C,Youth Ballet 2A,,Dani / Vale,6:30 PM,7:30 PM,Ballet,,
Thursday,C,Jazz Funk,ages 15+,Juan,8:30 PM,9:30 PM,Jazz,,
Thursday,D,Pre-Hip Hop 1,ages 5–7,Emma G,5:15 PM,6:00 PM,Hip Hop,Yes,
Thursday,D,Sculpt & Stretch,ages 18+,Frenchie,6:15 PM,7:15 PM,Fitness,Yes,
Thursday,D,Youth Turns & Leaps,,Dani,7:30 PM,8:30 PM,Turns & Leaps,,must meet pre-reqs
Friday,D,JR Ballet/Jazz Pre-Prof Rehearsal,,Jess,4:45 PM,6:15 PM,Company,,
Friday,D,INT Ballet Pre-Prof Rehearsal,,Jess,6:15 PM,7:30 PM,Company,,
Friday,D,INT Jazz & Contemporary Pre-Prof,,Jess,7:30 PM,8:45 PM,Company,,
Saturday,A,Tiny Movers,ages 3–4,Silvie,10:00 AM,10:45 AM,Ballet,,
