Title,Start Date,End Date,Date Label,Month,Location,Note,No Classes
Back 2 Dance Event,2026-08-15,,Aug 15,August 2026,,,
First Day of Classes @ LSCD,2026-08-18,,Aug 18,August 2026,,,
Nutcracker Auditions,2026-08-30,,Aug 30,August 2026,,,
Labor Day,2026-09-07,,Sep 7,September 2026,,,Yes
LSCD Spirit Week,2026-10-26,2026-10-30,Oct 26–30,October 2026,,,
Halloween,2026-10-31,,Oct 31,October 2026,,,Yes
Thanksgiving Break,2026-11-23,2026-11-28,Nov 23–28,November 2026,,,Yes
Nutcracker Tea Party,2026-12-12,,Dec 12,December 2026,Laredo Country Club,,
Sensory-Friendly Nutcracker Show for LISD & UISD,2026-12-14,,Dec 14,December 2026,LISD Performing Arts Center,,
$60 Production Fee Due — 16th Annual Dance Showcase,2026-12-18,,Dec 18,December 2026,,"If your child will not be participating in the showcase, you must notify us before the 18th to avoid automatic payment.",
Christmas & New Year's Break,2026-12-20,2027-01-05,Dec 20 – Jan 5,December 2026,,,Yes
Classes Resume @ LSCD,2027-01-06,,Jan 6,January 2027,,,
Love is in the Air Week,2027-02-08,2027-02-13,Feb 8–13,February 2027,,,
Spring Break,2027-03-08,2027-03-13,Mar 8–13,March 2027,,,Yes
Father Daughter Dance,2027-03-26,,Mar 26,March 2027,,Tentative date.,
Good Friday & Easter Holiday,2027-03-26,2027-03-28,Mar 26–28,March 2027,,,Yes
Classes Resume,2027-03-29,,Mar 29,March 2027,,,
All Costume Fees Due,2027-04-17,,Apr 17,April 2027,,Costumes will be charged to the card on file. Cash payments may be given in person at the front desk.,
16th Annual Dance Showcases,,,TBA,May 2027,,Info will be provided in December/January. Last day of classes will be their showcase performance.,
